date,strategy,SPY,eligible_equal_weight,eligible_sector_neutral_equal_weight,IWB
2023-04-13,1000000.0,1000000.0,1000000.0,1000000.0,1087379.6048058795
2023-04-14,1000000.0,1000000.0,1000000.0,1000000.0,1084996.52467481
2023-04-17,1000000.0,1000000.0,1000000.0,1000000.0,1088471.849865953
2023-04-18,1000000.0,1000000.0,1000000.0,1000000.0,1090060.5699533327
2023-04-19,1000000.0,1000000.0,1000000.0,1000000.0,1089464.7999205652
2023-04-20,1000000.0,1000000.0,1000000.0,1000000.0,1082762.3870519325
2023-04-21,1000000.0,1000000.0,1000000.0,1000000.0,1084053.2221229284
2023-04-24,1000000.0,1000000.0,1000000.0,1000000.0,1084351.1071393122
2023-04-25,1000000.0,1000000.0,1000000.0,1000000.0,1066924.8336808672
2023-04-26,1000000.0,1000000.0,1000000.0,1000000.0,1062754.4434514956
2023-04-27,1000000.0,1000000.0,1000000.0,1000000.0,1083407.8045874306
2023-04-28,1000000.0,1000000.0,1000000.0,1000000.0,1091549.9950352511
2023-05-01,1000000.0,1000000.0,1000000.0,1000000.0,1092145.7650680183
2023-05-02,1000000.0,1000000.0,1000000.0,1000000.0,1078294.1118061775
2023-05-03,1000000.0,1000000.0,1000000.0,1000000.0,1071591.6989375448
2023-05-04,1000000.0,1000000.0,1000000.0,1000000.0,1063846.6885115693
2023-05-05,1000000.0,1000000.0,1000000.0,1000000.0,1083258.862079239
2023-05-08,1000000.0,1000000.0,1000000.0,1000000.0,1084500.0496475045
2023-05-09,1000000.0,1000000.0,1000000.0,1000000.0,1079833.1843908266
2023-05-10,1000000.0,1000000.0,1000000.0,1000000.0,1084897.229669349
2023-05-11,1000000.0,1000000.0,1000000.0,1000000.0,1082613.444543741
2023-05-12,1000000.0,1000000.0,1000000.0,1000000.0,1081223.314467284
2023-05-15,1000000.0,1000000.0,1000000.0,1000000.0,1084996.5246748102
2023-05-16,1000000.0,1000000.0,1000000.0,1000000.0,1077549.3992652183
2023-05-17,1000000.0,1000000.0,1000000.0,1000000.0,1090904.577499753
2023-05-18,1000000.0,1000000.0,1000000.0,1000000.0,1102025.6181114104
2023-05-19,1000000.0,1000000.0,1000000.0,1000000.0,1099592.8904776103
2023-05-22,1000000.0,1000000.0,1000000.0,1000000.0,1100585.8405322225
2023-05-23,1000000.0,1000000.0,1000000.0,1000000.0,1088571.1448714144
2023-05-24,1000000.0,1000000.0,1000000.0,1000000.0,1080478.6019263247
2023-05-25,1000000.0,1000000.0,1000000.0,1000000.0,1088769.7348823368
2023-05-26,1000000.0,1000000.0,1000000.0,1000000.0,1103117.8631714839
2023-05-30,1000000.0,1000000.0,1000000.0,1000000.0,1103812.9282097127
2023-05-31,1000000.0,1000000.0,1000000.0,1000000.0,1097011.2203356186
2023-06-01,1000000.0,1000000.0,1000000.0,1000000.0,1107834.375930892
2023-06-02,1000000.0,1000000.0,1000000.0,1000000.0,1125310.2968920679
2023-06-05,1000000.0,1000000.0,1000000.0,1000000.0,1123175.4542746516
2023-06-06,1000000.0,1000000.0,1000000.0,1000000.0,1126601.1319630637
2023-06-07,1000000.0,1000000.0,1000000.0,1000000.0,1122877.5692582678
2023-06-08,1000000.0,1000000.0,1000000.0,1000000.0,1129480.687121439
2023-06-09,1000000.0,1000000.0,1000000.0,1000000.0,1130374.34217059
2023-06-12,1000000.0,1000000.0,1000000.0,1000000.0,1140949.2602522108
2023-06-13,1000000.0,1000000.0,1000000.0,1000000.0,1148694.270678186
2023-06-14,1000000.0,1000000.0,1000000.0,1000000.0,1149786.5157382595
2023-06-15,1000000.0,1000000.0,1000000.0,1000000.0,1163340.2839837167
2023-06-16,1000000.0,1000000.0,1000000.0,1000000.0,1159864.958792574
2023-06-20,1000000.0,1000000.0,1000000.0,1000000.0,1154552.6760003984
2023-06-21,1000000.0,1000000.0,1000000.0,1000000.0,1147254.4930989982
2023-06-22,1000000.0,1000000.0,1000000.0,1000000.0,1151424.8833283696
2023-06-23,1000000.0,1000000.0,1000000.0,1000000.0,1141793.2677986308
2023-06-26,1000000.0,1000000.0,1000000.0,1000000.0,1138069.7050938345
2023-06-27,1000000.0,1000000.0,1000000.0,1000000.0,1151623.473339292
2023-06-28,1000000.0,1000000.0,1000000.0,1000000.0,1152417.833382982
2023-06-29,1000000.0,1000000.0,1000000.0,1000000.0,1157283.2886505818
2023-06-30,1000000.0,1000000.0,1000000.0,1000000.0,1171581.7694369985
2023-07-03,1000000.0,1000000.0,1000000.0,1000000.0,1172475.4244861498
2023-07-05,1000000.0,1000000.0,1000000.0,1000000.0,1170141.9918578109
2023-07-06,1000000.0,1000000.0,1000000.0,1000000.0,1160460.7288253414
2023-07-07,1000000.0,1000000.0,1000000.0,1000000.0,1158176.9436997331
2023-07-10,1000000.0,1000000.0,1000000.0,1000000.0,1162198.391420913
2023-07-11,1000000.0,1000000.0,1000000.0,1000000.0,1171234.2369178843
2023-07-12,1000000.0,1000000.0,1000000.0,1000000.0,1179227.484857513
2023-07-13,1000000.0,1000000.0,1000000.0,1000000.0,1190100.2879555172
2023-07-14,1000000.0,1000000.0,1000000.0,1000000.0,1187320.0278026029
2023-07-17,1000000.0,1000000.0,1000000.0,1000000.0,1193079.138119354
2023-07-18,1000000.0,1000000.0,1000000.0,1000000.0,1201916.3936054031
2023-07-19,1000000.0,1000000.0,1000000.0,1000000.0,1205590.3088074685
2023-07-20,1000000.0,1000000.0,1000000.0,1000000.0,1196653.758315958
2023-07-21,1000000.0,1000000.0,1000000.0,1000000.0,1196852.3483268803
2023-07-24,1000000.0,1000000.0,1000000.0,1000000.0,1200724.853539868
2023-07-25,1000000.0,1000000.0,1000000.0,1000000.0,1203951.941217358
2023-07-26,1000000.0,1000000.0,1000000.0,1000000.0,1204398.7687419336
2023-07-27,1000000.0,1000000.0,1000000.0,1000000.0,1195958.6932777292
2023-07-28,1000000.0,1000000.0,1000000.0,1000000.0,1208122.3314467294
2023-07-31,1000000.0,1000000.0,1000000.0,1000000.0,1210704.001588721
2023-08-01,1000000.0,1000000.0,1000000.0,1000000.0,1207824.4464303455
2023-08-02,1000000.0,1000000.0,1000000.0,1000000.0,1191639.360540166
2023-08-03,1000000.0,1000000.0,1000000.0,1000000.0,1187369.6753053332
2023-08-04,1000000.0,1000000.0,1000000.0,1000000.0,1181163.7374640068
2023-08-07,1000000.0,1000000.0,1000000.0,1000000.0,1191589.7130374357
2023-08-08,1000000.0,1000000.0,1000000.0,1000000.0,1186227.7827425296
2023-08-09,1000000.0,1000000.0,1000000.0,1000000.0,1177291.2322510192
2023-08-10,1000000.0,1000000.0,1000000.0,1000000.0,1178284.1823056315
2023-08-11,1000000.0,1000000.0,1000000.0,1000000.0,1176546.5197100597
2023-08-14,1000000.0,1000000.0,1000000.0,1000000.0,1183050.3425677698
2023-08-15,1000000.0,1000000.0,1000000.0,1000000.0,1169695.164333235
2023-08-16,1000000.0,1000000.0,1000000.0,1000000.0,1161056.4988581084
2023-08-17,1000000.0,1000000.0,1000000.0,1000000.0,1152517.1283884428
2023-08-18,1000000.0,1000000.0,1000000.0,1000000.0,1151822.0633502144
2023-08-21,1000000.0,1000000.0,1000000.0,1000000.0,1159368.4837652675
2023-08-22,1000000.0,1000000.0,1000000.0,1000000.0,1155049.1510277044
2023-08-23,1000000.0,1000000.0,1000000.0,1000000.0,1168652.5667758922
2023-08-24,1000000.0,1000000.0,1000000.0,1000000.0,1153708.668453978
2023-08-25,1000000.0,1000000.0,1000000.0,1000000.0,1160857.908847186
2023-08-28,1000000.0,1000000.0,1000000.0,1000000.0,1168255.3867540474
2023-08-29,1000000.0,1000000.0,1000000.0,1000000.0,1185234.8326879167
2023-08-30,1000000.0,1000000.0,1000000.0,1000000.0,1191291.8280210516
2023-08-31,1000000.0,1000000.0,1000000.0,1000000.0,1190199.5829609782
2023-09-01,1000000.0,1000000.0,1000000.0,1000000.0,1192681.9580975089
2023-09-05,1000000.0,1000000.0,1000000.0,1000000.0,1187022.1427862188
2023-09-06,1000000.0,1000000.0,1000000.0,1000000.0,1179177.837354782
2023-09-07,1000000.0,1000000.0,1000000.0,1000000.0,1175603.2171581779
2023-09-08,1000000.0,1000000.0,1000000.0,1000000.0,1177539.469764672
2023-09-11,1000000.0,1000000.0,1000000.0,1000000.0,1185334.127693378
2023-09-12,1000000.0,1000000.0,1000000.0,1000000.0,1178979.2473438596
2023-09-13,1000000.0,1000000.0,1000000.0,1000000.0,1179475.7223711656
2023-09-14,1000000.0,1000000.0,1000000.0,1000000.0,1189454.870420019
2023-09-15,1000000.0,1000000.0,1000000.0,1000000.0,1175156.3896336025
2023-09-18,1000000.0,1000000.0,1000000.0,1000000.0,1176050.0446827533
2023-09-19,1000000.0,1000000.0,1000000.0,1000000.0,1173567.6695462228
2023-09-20,1000000.0,1000000.0,1000000.0,1000000.0,1162545.9239400267
2023-09-21,1000000.0,1000000.0,1000000.0,1000000.0,1142935.1603614346
2023-09-22,1000000.0,1000000.0,1000000.0,1000000.0,1140552.080230365
2023-09-25,1000000.0,1000000.0,1000000.0,1000000.0,1144672.8229570058
2023-09-26,1000000.0,1000000.0,1000000.0,1000000.0,1128487.737066826
2023-09-27,1000000.0,1000000.0,1000000.0,1000000.0,1129232.4496077853
2023-09-28,1000000.0,1000000.0,1000000.0,1000000.0,1136778.8700228385
2023-09-29,1000000.0,1000000.0,1000000.0,1000000.0,1133849.667361732
2023-10-02,1000000.0,1000000.0,1000000.0,1000000.0,1132658.1272961975
2023-10-03,1000000.0,1000000.0,1000000.0,1000000.0,1116423.3939032874
2023-10-04,1000000.0,1000000.0,1000000.0,1000000.0,1125906.0669248342
2023-10-05,1000000.0,1000000.0,1000000.0,1000000.0,1123920.1668156097
2023-10-06,1000000.0,1000000.0,1000000.0,1000000.0,1137821.4675801813
2023-10-09,1000000.0,1000000.0,1000000.0,1000000.0,1144672.8229570058
2023-10-10,1000000.0,1000000.0,1000000.0,1000000.0,1151524.1783338303
2023-10-11,1000000.0,1000000.0,1000000.0,1000000.0,1156786.8136232754
2023-10-12,1000000.0,1000000.0,1000000.0,1000000.0,1148148.1481481486
2023-10-13,1000000.0,1000000.0,1000000.0,1000000.0,1142041.5053122833
2023-10-16,1000000.0,1000000.0,1000000.0,1000000.0,1154403.7334922056
2023-10-17,1000000.0,1000000.0,1000000.0,1000000.0,1155297.3885413567
2023-10-18,1000000.0,1000000.0,1000000.0,1000000.0,1139013.0076457157
2023-10-19,1000000.0,1000000.0,1000000.0,1000000.0,1128984.212094132
2023-10-20,1000000.0,1000000.0,1000000.0,1000000.0,1114685.7313077156
2023-10-23,1000000.0,1000000.0,1000000.0,1000000.0,1112699.831198491
2023-10-24,1000000.0,1000000.0,1000000.0,1000000.0,1120742.7266408503
2023-10-25,1000000.0,1000000.0,1000000.0,1000000.0,1103515.0431933277
2023-10-26,1000000.0,1000000.0,1000000.0,1000000.0,1091450.7000297888
2023-10-27,1000000.0,1000000.0,1000000.0,1000000.0,1086386.6547512664
2023-10-30,1000000.0,1000000.0,1000000.0,1000000.0,1098699.2354284583
2023-10-31,1000000.0,1000000.0,1000000.0,1000000.0,1106047.065832589
2023-11-01,1000000.0,1000000.0,1000000.0,1000000.0,1117267.4014497076
2023-11-02,1000000.0,1000000.0,1000000.0,1000000.0,1138913.7126402548
2023-11-03,1000000.0,1000000.0,1000000.0,1000000.0,1151027.703306524
2023-11-06,1000000.0,1000000.0,1000000.0,1000000.0,1151772.4158474833
2023-11-07,1000000.0,1000000.0,1000000.0,1000000.0,1155744.2160659323
2023-11-08,1000000.0,1000000.0,1000000.0,1000000.0,1156488.9286068915
2023-11-09,1000000.0,1000000.0,1000000.0,1000000.0,1146609.0755634995
2023-11-10,1000000.0,1000000.0,1000000.0,1000000.0,1164184.2915301363
2023-11-13,1000000.0,1000000.0,1000000.0,1000000.0,1163489.2264919076
2023-11-14,1000000.0,1000000.0,1000000.0,1000000.0,1187568.2653162547
2023-11-15,1000000.0,1000000.0,1000000.0,1000000.0,1189951.3454473242
2023-11-16,1000000.0,1000000.0,1000000.0,1000000.0,1190646.4104855529
2023-11-17,1000000.0,1000000.0,1000000.0,1000000.0,1192582.6630920467
2023-11-20,1000000.0,1000000.0,1000000.0,1000000.0,1201916.3936054017
2023-11-21,1000000.0,1000000.0,1000000.0,1000000.0,1198838.2484361038
2023-11-22,1000000.0,1000000.0,1000000.0,1000000.0,1204100.8837255486
2023-11-24,1000000.0,1000000.0,1000000.0,1000000.0,1205441.3662992753
2023-11-27,1000000.0,1000000.0,1000000.0,1000000.0,1203505.1136927814
2023-11-28,1000000.0,1000000.0,1000000.0,1000000.0,1204498.0637473937
2023-11-29,1000000.0,1000000.0,1000000.0,1000000.0,1204746.3012610467
2023-11-30,1000000.0,1000000.0,1000000.0,1000000.0,1210108.2315559532
2023-12-01,1000000.0,1000000.0,1000000.0,1000000.0,1218647.6020256185
2023-12-04,1000000.0,1000000.0,1000000.0,1000000.0,1213384.9667361735
2023-12-05,1000000.0,1000000.0,1000000.0,1000000.0,1211696.9516433326
2023-12-06,1000000.0,1000000.0,1000000.0,1000000.0,1206980.4388839244
2023-12-07,1000000.0,1000000.0,1000000.0,1000000.0,1216363.8169000102
2023-12-08,1000000.0,1000000.0,1000000.0,1000000.0,1221576.8046867244
2023-12-11,1000000.0,1000000.0,1000000.0,1000000.0,1226789.7924734387
2023-12-12,1000000.0,1000000.0,1000000.0,1000000.0,1231655.2477410387
2023-12-13,1000000.0,1000000.0,1000000.0,1000000.0,1249329.7587131367
2023-12-14,1000000.0,1000000.0,1000000.0,1000000.0,1255833.5815708467
2023-12-15,1000000.0,1000000.0,1000000.0,1000000.0,1253748.3864561613
2023-12-18,1000000.0,1000000.0,1000000.0,1000000.0,1260252.2093138716
2023-12-19,1000000.0,1000000.0,1000000.0,1000000.0,1268642.6372753452
2023-12-20,1000000.0,1000000.0,1000000.0,1000000.0,1249280.111210406
2023-12-21,1000000.0,1000000.0,1000000.0,1000000.0,1263231.0594777083
2023-12-22,1000000.0,1000000.0,1000000.0,1000000.0,1265415.5495978552
2023-12-26,1000000.0,1000000.0,1000000.0,1000000.0,1270876.7748982226
2023-12-27,1000000.0,1000000.0,1000000.0,1000000.0,1272961.9700129083
2023-12-28,1000000.0,1000000.0,1000000.0,1000000.0,1274302.4525866348
