ticker,current_weight,target_weight,weight_delta,current_shares,rank,decision
AAPL,0.02,0.025,0.005000000000000001,5.0,3,ADD
JPM,0.01,0.025,0.015000000000000001,10.0,6,ADD
CVX,0.0,0.025,0.025,0.0,1,BUY
COST,0.0,0.025,0.025,0.0,2,BUY
BAC,0.0,0.025,0.025,0.0,4,BUY
CAT,0.0,0.025,0.025,0.0,5,BUY
HD,0.0,0.025,0.025,0.0,7,BUY
GE,0.0,0.025,0.025,0.0,8,BUY
AMZN,0.0,0.025,0.025,0.0,9,BUY
XOM,0.0,0.0,0.0,0.0,,HOLD
MSFT,0.015,0.0,-0.015,4.0,,SELL
