name,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,monthly_win_rate,best_month,worst_month,average_monthly_turnover,number_of_rebalances,average_number_of_holdings
Dual Momentum,3.5340400639389458,0.0812380645028663,0.11060043074836491,0.7615854260302107,0.9348472436293224,-0.16698940147214247,0.4864863505509277,0.5708154506437768,0.08937860776899398,-0.0881513493109708,0.39049182394581194,232.0,2.5689655172413794
SPY Buy & Hold,6.522280359597709,0.10989514483278895,0.1965319764702833,0.62885277055194,0.7682274344346698,-0.5518942970150913,0.1991235376541387,0.6609442060085837,0.12698326523906678,-0.16518642696298313,,,
60/40 SPY/IEF,3.8086615884213044,0.08452844638350099,0.11270081711375225,0.7762819781608258,0.9737511914644297,-0.3139350381508559,0.2692545785312513,0.6738197424892703,0.07756213142154689,-0.09767484802802118,,,
ETF Equal Weight,3.6200463481854035,0.08228842389832014,0.14014765430079568,0.634341818276777,0.7966651591867016,-0.3921194646143814,0.20985549385885324,0.6437768240343348,0.08592437065353753,-0.1674815254057027,,,
