signal_date,execution_date,scale,realized_vol,turnover,cost,cash_weight,num_holdings
2007-01-31,2007-02-01,1.0,,0.0,0.0,1.0,0
2007-02-28,2007-03-01,1.0,,0.0,0.0,1.0,0
2007-03-30,2007-04-02,1.0,,0.0,0.0,1.0,0
2007-04-30,2007-05-01,1.0,0.0,0.0,0.0,1.0,0
2007-05-31,2007-06-01,1.0,0.0,0.0,0.0,1.0,0
2007-06-29,2007-07-02,1.0,0.0,0.0,0.0,1.0,0
2007-07-31,2007-08-01,1.0,0.0,0.0,0.0,1.0,0
2007-08-31,2007-09-04,1.0,0.0,0.0,0.0,1.0,0
2007-09-28,2007-10-01,1.0,0.0,0.0,0.0,1.0,0
2007-10-31,2007-11-01,1.0,0.0,0.0,0.0,1.0,0
2007-11-30,2007-12-03,1.0,0.0,0.0,0.0,1.0,0
2007-12-31,2008-01-02,1.0,0.0,0.0,0.0,1.0,0
2008-01-31,2008-02-01,1.0,0.0,1.0,0.001,0.0,3
2008-02-29,2008-03-03,1.0,0.07718758764867271,0.6666666666666666,0.0006666666666666666,0.0,3
2008-03-31,2008-04-01,0.7806664864953764,0.1280956743114811,0.2193335135046236,0.0002193335135046236,0.2193335135046237,3
2008-04-30,2008-05-01,0.6958762044706891,0.1437037210893911,0.5487077516718133,0.0005487077516718133,0.3041237955293109,3
2008-05-30,2008-06-02,0.7158924142477868,0.13968579357706074,0.020016209777097727,2.0016209777097727e-05,0.2841075857522132,3
2008-06-30,2008-07-01,0.9064515141185577,0.11032029672016266,0.6678207093692954,0.0006678207093692954,0.09354848588144238,3
2008-07-31,2008-08-01,0.8200177712854033,0.12194857660614708,0.08643374283315441,8.643374283315442e-05,0.1799822287145968,3
2008-08-29,2008-09-02,0.7694398506259373,0.12996467484579888,0.5635378210767574,0.0005635378210767574,0.23056014937406266,3
2008-09-30,2008-10-01,0.8468794253812858,0.11808056377680631,0.30810633337887805,0.00030810633337887805,0.43541371641247617,2
2008-10-31,2008-11-03,1.0,0.09711123720976053,0.1020803830791428,0.0001020803830791428,0.33333333333333337,2
2008-11-28,2008-12-01,0.9997447714887481,0.10002552936694752,0.00017015234083461728,1.701523408346173e-07,0.333503485674168,2
2008-12-31,2009-01-02,0.9145539315844493,0.10934292286814806,0.05679389326953255,5.679389326953255e-05,0.39029737894370053,2
2009-01-30,2009-02-02,0.8313146743757587,0.12029139275700969,0.05549283813912709,5.549283813912709e-05,0.4457902170828276,2
2009-02-27,2009-03-02,0.9494434335872736,0.10532486345413007,0.07875250614100993,7.875250614100993e-05,0.3670377109418177,2
2009-03-31,2009-04-01,0.952574019712772,0.10497871864083888,0.31961173065458964,0.00031961173065458965,0.04742598028722811,3
2009-04-30,2009-05-01,0.8986346005791883,0.11127993506542923,0.3534842859933131,0.0003534842859933131,0.40091026628054116,2
2009-05-29,2009-06-01,0.958264130406358,0.10435536177024007,0.31942137680211935,0.00031942137680211936,0.6805786231978806,1
2009-06-30,2009-07-01,1.0,0.08739703135969591,0.013911956531213965,1.3911956531213965e-05,0.6666666666666667,1
2009-07-31,2009-08-03,1.0,0.05624724732381933,0.0,0.0,0.6666666666666667,1
2009-08-31,2009-09-01,1.0,0.04981801853645785,0.0,0.0,0.6666666666666667,1
2009-09-30,2009-10-01,1.0,0.04727661422010374,0.6666666666666666,0.0006666666666666666,0.0,3
2009-10-30,2009-11-02,1.0,0.09564903544481776,0.6666666666666666,0.0006666666666666666,0.0,3
2009-11-30,2009-12-01,0.7224942443860347,0.13840940710189129,0.759168585204655,0.0007591685852046551,0.2775057556139653,3
2009-12-31,2010-01-04,0.6852493414575689,0.14593228179875906,0.49407779723351175,0.0004940777972335117,0.3147506585424311,3
2010-01-29,2010-02-01,0.6769613377815825,0.14771892339923318,0.4595955621970414,0.0004595955621970414,0.3230386622184176,3
2010-02-26,2010-03-01,0.7521664904492146,0.13294928884730992,0.07520515266763211,7.520515266763211e-05,0.24783350955078542,3
2010-03-31,2010-04-01,0.8276438485179214,0.12082491784246574,0.5769216850348499,0.0005769216850348499,0.1723561514820786,3
2010-04-30,2010-05-03,0.6947131013560187,0.14394431284627973,0.13293074716190273,0.00013293074716190273,0.3052868986439814,3
2010-05-28,2010-06-01,0.4662726938855112,0.21446677300934558,0.5392888700608482,0.0005392888700608483,0.5337273061144888,3
2010-06-30,2010-07-01,0.4463271077853924,0.22405092197107382,0.615048396480642,0.000615048396480642,0.5536728922146077,3
2010-07-30,2010-08-02,0.5056137919770378,0.19777941501354743,0.05928668419164543,5.928668419164543e-05,0.4943862080229622,3
2010-08-31,2010-09-01,1.0,0.08880175352727648,0.8314620693409873,0.0008314620693409873,0.0,3
2010-09-30,2010-10-01,1.0,0.0584907010084227,0.6666666666666666,0.0006666666666666666,0.0,3
2010-10-29,2010-11-01,1.0,0.07973243310135526,0.6666666666666666,0.0006666666666666666,0.0,3
2010-11-30,2010-12-01,0.7509755304300946,0.13316013098686258,0.7496748231899684,0.0007496748231899684,0.24902446956990543,3
2010-12-31,2011-01-03,0.7629452732541524,0.13107100011705294,0.5126200964441208,0.0005126200964441208,0.2370547267458476,3
2011-01-31,2011-02-01,0.7930725628675018,0.1260918668506591,0.5387574717827843,0.0005387574717827843,0.20692743713249828,3
2011-02-28,2011-03-01,1.0,0.08764823402980601,0.20692743713249817,0.00020692743713249817,0.0,3
2011-03-31,2011-04-01,0.7590618019140406,0.13174157854846769,1.2530206006380133,0.0012530206006380134,0.2409381980859595,3
2011-04-29,2011-05-02,0.7803922925101789,0.12814068124422906,0.5273716918721654,0.0005273716918721654,0.21960770748982106,3
2011-05-31,2011-06-01,0.7268584712092762,0.13757836492382042,0.5381061354404202,0.0005381061354404202,0.27314152879072395,3
2011-06-30,2011-07-01,0.7853899962119334,0.12732527850153,0.5431038391421746,0.0005431038391421747,0.21461000378806672,3
2011-07-29,2011-08-01,0.7295733113578596,0.13706641737467487,0.5421988924259802,0.0005421988924259801,0.27042668864214037,3
2011-08-31,2011-09-01,0.6963540821259506,0.14360510344780725,0.4974552839825428,0.0004974552839825428,0.3036459178740494,3
2011-09-30,2011-10-03,0.6531867180638431,0.15309558084159622,0.9140829881472315,0.0009140829881472316,0.3468132819361569,3
2011-10-31,2011-11-01,0.6777631530723961,0.14754416723111294,0.024576435008552944,2.4576435008552945e-05,0.322236846927604,3
2011-11-30,2011-12-01,0.8981581383697598,0.11133896774738274,0.22039498529736373,0.00022039498529736375,0.10184186163024023,3
2011-12-30,2012-01-03,1.0,0.07709896033593916,0.7006139538767466,0.0007006139538767467,0.0,3
2012-01-31,2012-02-01,1.0,0.07549386053118474,0.6666666666666666,0.0006666666666666666,0.0,3
2012-02-29,2012-03-01,1.0,0.08739189013811338,0.0,0.0,0.0,3
2012-03-30,2012-04-02,1.0,0.09614022356514715,0.6666666666666666,0.0006666666666666666,0.0,3
2012-04-30,2012-05-01,1.0,0.09424378840621213,0.0,0.0,0.0,3
2012-05-31,2012-06-01,1.0,0.07867186275276737,0.6666666666666666,0.0006666666666666666,0.0,3
2012-06-29,2012-07-02,1.0,0.0814290465960547,0.6666666666666666,0.0006666666666666666,0.0,3
2012-07-31,2012-08-01,1.0,0.0737846225005013,0.6666666666666666,0.0006666666666666666,0.0,3
2012-08-31,2012-09-04,1.0,0.06992893795794591,0.0,0.0,0.0,3
2012-09-28,2012-10-01,1.0,0.05193693032103898,0.6666666666666666,0.0006666666666666666,0.0,3
2012-10-31,2012-11-01,1.0,0.07207742059811367,0.6666666666666666,0.0006666666666666666,0.0,3
2012-11-30,2012-12-03,1.0,0.07562404253213977,0.6666666666666666,0.0006666666666666666,0.0,3
2012-12-31,2013-01-02,1.0,0.09113452435366297,0.6666666666666666,0.0006666666666666666,0.0,3
2013-01-31,2013-02-01,1.0,0.09223269561119178,0.6666666666666666,0.0006666666666666666,0.0,3
2013-02-28,2013-03-01,0.9013425732623986,0.11094560821425666,0.09865742673760136,9.865742673760137e-05,0.09865742673760147,3
2013-03-28,2013-04-01,0.9382655627212996,0.10657963371261851,0.6378180383005001,0.0006378180383005001,0.06173443727870043,3
2013-04-30,2013-05-01,0.8438947889417961,0.11849818402765022,0.09437077377950354,9.437077377950354e-05,0.15610521105820396,3
2013-05-31,2013-06-03,0.8878520137014245,0.11263138277189173,0.6065537507208257,0.0006065537507208258,0.11214798629857559,3
2013-06-28,2013-07-01,0.6759636513346534,0.1479369486843789,0.6625307965898732,0.0006625307965898732,0.3240363486653466,3
2013-07-31,2013-08-01,0.8028864494570942,0.12455061368593187,0.12692279812244073,0.00012692279812244074,0.1971135505429059,3
2013-08-30,2013-09-03,0.8034366091977874,0.12446532664207031,0.000550159740693279,5.50159740693279e-07,0.19656339080221263,3
2013-09-30,2013-10-01,1.0,0.0821468741148461,0.19656339080221258,0.00019656339080221258,0.0,3
2013-10-31,2013-11-01,0.9475130480554435,0.10553944371027651,0.6841623173148522,0.0006841623173148522,0.05248695194455666,3
2013-11-29,2013-12-02,0.9587747809549632,0.10429978133175088,0.6429370982698153,0.0006429370982698152,0.041225219045036954,3
2013-12-31,2014-01-02,0.9211218008867922,0.10856327567508113,0.037652980068170916,3.765298006817092e-05,0.07887819911320793,3
2014-01-31,2014-02-03,0.8992690640626777,0.11120142346298945,0.021852736824114427,2.1852736824114428e-05,0.1007309359373223,3
2014-02-28,2014-03-03,0.8481664492400313,0.11790138608948912,0.05110261482264644,5.110261482264644e-05,0.15183355075996874,3
2014-03-31,2014-04-01,0.8349114429165344,0.11977318175287836,0.013255006323496965,1.3255006323496966e-05,0.1650885570834657,3
2014-04-30,2014-05-01,0.7912799570595047,0.12637752177069228,0.04363148585702964,4.363148585702964e-05,0.2087200429404954,3
2014-05-30,2014-06-02,0.8729018645135258,0.11456041516846878,0.6091418788270241,0.0006091418788270241,0.1270981354864743,3
2014-06-30,2014-07-01,0.9884620554811729,0.10116726225906675,0.11556019096764719,0.0001155601909676472,0.011537944518827059,3
2014-07-31,2014-08-01,1.0,0.08696958371516147,0.011537944518827059,1.1537944518827059e-05,0.0,3
2014-08-29,2014-09-02,1.0,0.08232441962627518,0.6666666666666666,0.0006666666666666666,0.0,3
2014-09-30,2014-10-01,1.0,0.09623772691101894,0.0,0.0,0.0,3
2014-10-31,2014-11-03,0.8420261353008522,0.11876115931279312,0.7193246215663825,0.0007193246215663826,0.15797386469914776,3
2014-11-28,2014-12-01,0.8816648469245123,0.1134217841947848,0.600989468490895,0.000600989468490895,0.1183351530754877,3
2014-12-31,2015-01-02,0.9701533871811384,0.10307648390586807,0.088488540256626,8.8488540256626e-05,0.029846612818861695,3
2015-01-30,2015-02-02,1.0,0.0653361500457606,0.02984661281886164,2.984661281886164e-05,0.0,3
2015-02-27,2015-03-02,1.0,0.0795931725684853,0.0,0.0,0.0,3
2015-03-31,2015-04-01,0.9386482612535688,0.1065361798747164,0.06135173874643124,6.135173874643125e-05,0.061351738746431295,3
2015-04-30,2015-05-01,0.9383170338859217,0.10657378731137664,0.00033122736764701344,3.3122736764701344e-07,0.06168296611407831,3
