Date,Dual Momentum,SPY Buy & Hold,60/40 SPY/IEF,ETF Equal Weight
2007-01-03,1.0,1.0,1.0,1.0
2007-01-04,1.0,1.0021223934872114,1.0,1.0
2007-01-05,1.0,0.9941288785057304,1.0,1.0
2007-01-08,1.0,0.9987266408757055,1.0,1.0
2007-01-09,1.0,0.9978780683209818,1.0,1.0
2007-01-10,1.0,1.0012024715666623,1.0,1.0
2007-01-11,1.0,1.0055881100399644,1.0,1.0
2007-01-12,1.0,1.0132278799455716,1.0,1.0
2007-01-16,1.0,1.0112468767334648,1.0,1.0
2007-01-17,1.0,1.0116715863350036,1.0,1.0
2007-01-18,1.0,1.008275987659562,1.0,1.0
2007-01-19,1.0,1.01025668299954,1.0,1.0
2007-01-22,1.0,1.0071443266825004,1.0,1.0
2007-01-23,1.0,1.010115523628532,1.0,1.0
2007-01-24,1.0,1.0182496592047958,1.0,1.0
2007-01-25,1.0,1.006295908063841,1.0,1.0
2007-01-26,1.0,1.0053759091752592,1.0,1.0
2007-01-29,1.0,1.0048101171707444,1.0,1.0
2007-01-30,1.0,1.010044251230738,1.0,1.0
2007-01-31,1.0,1.0168354485816213,1.0,1.0
2007-02-01,1.0,1.0229188479086282,1.0033008974233895,1.0039983424887187
2007-02-02,1.0,1.0243335973080274,1.004477280903906,1.0043072046322465
2007-02-05,1.0,1.0246164548262686,1.0050860388607457,1.0039683998851467
2007-02-06,1.0,1.024898927504349,1.006380996769825,1.008444657674184
2007-02-07,1.0,1.0271629421707615,1.0085973867200078,1.0115679717134753
2007-02-08,1.0,1.0258191572970272,1.007903417026575,1.0133745801466372
2007-02-09,1.0,1.01817938739142,1.002175408345089,1.0082534854819862
2007-02-12,1.0,1.0147132859985064,0.9995912809198191,1.0013863468654307
2007-02-13,1.0,1.023272054208277,1.0043576351301924,1.0099312545771093
2007-02-14,1.0,1.0299922870334954,1.0106202771779114,1.0162598014606135
2007-02-15,1.0,1.0313363028113263,1.0120490694409452,1.0185146508526848
2007-02-16,1.0,1.0308412444283799,1.012199415318855,1.0206168700812521
2007-02-20,1.0,1.0330339866969986,1.0139815751728656,1.0214080314017644
2007-02-21,1.0,1.0326096619356206,1.0136823870247522,1.0265181995514359
2007-02-22,1.0,1.0318310533221435,1.012193979232957,1.027264702783227
2007-02-23,1.0,1.027799467796844,1.0114411722548322,1.026417363009132
2007-02-26,1.0,1.0268797767803912,1.012168315904027,1.0271120526160005
2007-02-27,1.0,0.9867721970224603,0.9918599101259874,0.9945487679869416
2007-02-28,1.0,0.9968871818747669,0.9965869389964012,1.0031675753590026
2007-03-01,1.0,0.9939169085451214,0.9951649160018563,0.9967189087817329
2007-03-02,1.0,0.9809009985601587,0.9886362580483248,0.984791282120988
2007-03-05,1.0,0.9715639296090398,0.9832260745779954,0.9700725132562938
2007-03-06,1.0,0.9881871773259564,0.9928024912582062,0.9891937214924345
2007-03-07,1.0,0.9871965987518708,0.99291863476005,0.9885748988648191
2007-03-08,1.0,0.9955437818411936,0.997908584827705,0.9964634959353075
2007-03-09,1.0,0.9958268702635314,0.9958353669518536,0.9955918481675137
2007-03-12,1.0,0.9973118914763061,0.9978283086023803,0.9982231840550396
2007-03-13,1.0,0.9779302634223204,0.9879638880724769,0.9834075685043636
2007-03-14,1.0,0.985216442188118,0.9918617537771112,0.9879116424116188
2007-03-15,1.0,0.98656015009382,0.9922463337274046,0.9900590824307961
2007-03-16,1.0,0.9837978443871099,0.9905324358153694,0.9884069324631302
2007-03-19,1.0,0.9956576175607798,0.9971749865997682,0.9968566924371037
2007-03-20,1.0,1.0011256574705516,1.001034292339151,1.001944480986405
2007-03-21,1.0,1.0176014344378217,1.0114943534086904,1.0148785944223448
2007-03-22,1.0,1.0168198240710897,1.009674437034452,1.0141429573901066
2007-03-23,1.0,1.0183115415026636,1.0099330936104323,1.0135572836358313
2007-03-26,1.0,1.0169622918986447,1.0094699526461761,1.013710755352773
2007-03-27,1.0,1.01454811260146,1.007935231869233,1.0102052071262524
2007-03-28,1.0,1.0071621832659643,1.0034843585182813,1.0056203557030292
2007-03-29,1.0,1.008227343863227,1.0035428720492254,1.0100732774257168
2007-03-30,1.0,1.0084406222803826,1.0031877066605368,1.0101776117766943
2007-04-02,1.0,1.009576670435278,1.0043119434395629,1.0117341073356438
2007-04-03,1.0,1.0204421705693179,1.0104576306179163,1.0179696324335563
2007-04-04,1.0,1.0215782956922455,1.0117673184115916,1.0219606294272865
2007-04-05,1.0,1.0243482212341408,1.0123888155650413,1.02267918567948
2007-04-09,1.0,1.0257688202039852,1.0113700947222186,1.0207095698233668
2007-04-10,1.0,1.0269759098525777,1.0129198316118473,1.0262435491115218
2007-04-11,1.0,1.0227860780531275,1.0099490661700865,1.0206574736453466
2007-04-12,1.0,1.0273308864169663,1.0130341042773494,1.0248867656293565
2007-04-13,1.0,1.032018085640328,1.015119452380419,1.0295921651754043
2007-04-16,1.0,1.041818348209073,1.0213469018859045,1.0361004971925307
2007-04-17,1.0,1.044588042846872,1.024711102802783,1.0364538387740538
2007-04-18,1.0,1.0458660200530971,1.0264038136610207,1.0355556957355363
2007-04-19,1.0,1.0455820849824056,1.026187004568576,1.0316708774319532
2007-04-20,1.0,1.0554538508530407,1.0315553462613674,1.0404524909753181
2007-04-23,1.0,1.051476527790424,1.0300691158880504,1.0404619872015146
2007-04-24,1.0,1.0519028537206385,1.0311135891110639,1.038557087868942
2007-04-25,1.0,1.0615614951101824,1.0365466162451173,1.045249004604108
2007-04-26,1.0,1.0627681229505817,1.0360567562045304,1.04244051377595
2007-04-27,1.0,1.0619163947065389,1.0355585635418219,1.0425387373397703
2007-04-30,1.0,1.0531103282093917,1.0322044838117699,1.0338729894959122
2007-05-01,1.0,1.0558090583215256,1.0338115200631095,1.033542101454568
2007-05-02,1.0,1.0619873592322038,1.036942868844315,1.0392658976098654
2007-05-03,1.0,1.0677397190528282,1.039862508467909,1.0431285449883336
2007-05-04,1.0,1.0717876218009486,1.04328330925729,1.045881063000632
2007-05-07,1.0,1.0720005153779433,1.0437595298844893,1.0466973030977829
2007-05-08,1.0,1.0705801473121954,1.0429297601129448,1.0420472064382258
2007-05-09,1.0,1.073491771001324,1.0432754048845068,1.044408598644139
2007-05-10,1.0,1.06227144823896,1.0377912970582346,1.0324357378227582
2007-05-11,1.0,1.0713616807108952,1.0422693773231333,1.042997928125587
2007-05-14,1.0,1.0690178501951177,1.0402971226422142,1.038066407290525
2007-05-15,1.0,1.0693020931379382,1.0404126682839272,1.0365757200621688
2007-05-16,1.0,1.0766167500756403,1.0444314818220803,1.0366219777727115
2007-05-17,1.0,1.074486505849147,1.0420794247737044,1.0317268999840354
2007-05-18,1.0,1.0838607503598063,1.0463201540331217,1.03454918706707
2007-05-21,1.0,1.0832921875061334,1.046551266367498,1.0382924044822623
2007-05-22,1.0,1.0824399204858655,1.0448874698980877,1.0375208822344422
2007-05-23,1.0,1.0825820804412918,1.0441548004739283,1.0368828580261542
2007-05-24,1.0,1.0727822027127076,1.0390443354300078,1.0262966300197576
2007-05-25,1.0,1.0772559695828494,1.0411880499810453,1.0320554850508754
2007-05-29,1.0,1.0811616354075113,1.0425889750975634,1.0353619713429307
2007-05-30,1.0,1.089968394616948,1.0480925032475026,1.0427669222514968
2007-05-31,1.0,1.0888318076858274,1.0472829318525514,1.0461483353266146
2007-06-01,1.0,1.0942287291338701,1.0485927209767552,1.0519246107061346
2007-06-04,1.0,1.0943708121212643,1.04934643788008,1.0543487347950287
2007-06-05,1.0,1.0900391282385165,1.0455114642689767,1.0492516319987881
2007-06-06,1.0,1.0783214380522408,1.0389744308556788,1.0409944470115267
2007-06-07,1.0,1.0588623801578876,1.0235705625693268,1.0245037828591232
2007-06-08,1.0,1.0726392730769594,1.0323267799052456,1.02925028100152
2007-06-11,1.0,1.0744865058491468,1.032314768579963,1.0311265707928439
2007-06-12,1.0,1.0627681229505817,1.022623336928505,1.0188075682923037
2007-06-13,1.0,1.078676183712533,1.0331438987277097,1.0319552754884538
2007-06-14,1.0,1.085565130464278,1.037206345230327,1.036365968026642
2007-06-15,1.0,1.0917417380782481,1.042565085608262,1.0456793448827268
2007-06-18,1.0,1.0904576803974813,1.041621736635786,1.044341760101551
2007-06-19,1.0,1.0931680326824735,1.0452014515352746,1.046587429720187
2007-06-20,1.0,1.077976159459906,1.0351373783525104,1.0347717085224628
2007-06-21,1.0,1.0839672741163358,1.0380734333000021,1.038569370615609
2007-06-22,1.0,1.0737685480450234,1.0334553558351285,1.0337005979318918
2007-06-25,1.0,1.0686327021621167,1.0318260629084384,1.0296754242665473
2007-06-26,1.0,1.05764944093885,1.0255651200987472,1.0230271497544894
2007-06-27,1.0,1.0726979996855086,1.0342695465865446,1.0330112965299862
2007-06-28,1.0,1.0725556088259858,1.033930957611839,1.0330561156821738
2007-06-29,1.0,1.0729124326231465,1.036290365298864,1.0348908181498977
2007-07-02,1.0,1.0826116361656464,1.0425423613009537,1.0466409865564432
2007-07-03,1.0,1.0865348507016441,1.0435720401087962,1.047894777347156
2007-07-05,1.0,1.0853937996246574,1.0405858920950761,1.04893283777075
2007-07-06,1.0,1.0910995168177842,1.0428819640302667,1.0537881428065166
2007-07-09,1.0,1.0919550164954035,1.044884496094295,1.056242762460959
2007-07-10,1.0,1.0764074739961575,1.038820563408596,1.0497199899715524
2007-07-11,1.0,1.0840387004501935,1.0418005896754507,1.0519768430452088
2007-07-12,1.0,1.1011557750615415,1.0504810510489402,1.062177453722815
2007-07-13,1.0,1.1044373071133007,1.0533009175862766,1.066283376736997
2007-07-16,1.0,1.1042944544455848,1.0548929400492018,1.0626848096535508
2007-07-17,1.0,1.103723736487011,1.0536787158127097,1.061483125232276
2007-07-18,1.0,1.1017266469561795,1.0540495790193736,1.0623295140153615
2007-07-19,1.0,1.1060057616729522,1.0564542703485407,1.0663694375511807
2007-07-20,1.0,1.0948082984161438,1.052124223628996,1.0617885287318338
2007-07-23,1.0,1.0981607180255357,1.0539025421156443,1.062768428018876
2007-07-24,1.0,1.0791171335688603,1.04407684620538,1.0493536169065385
2007-07-25,1.0,1.0813281942291366,1.0459237026142114,1.048900010273801
2007-07-26,1.0,1.0557236238058116,1.0343945135684498,1.0305896207532166
2007-07-27,1.0,1.03496842424964,1.022997274829842,1.0189024949637617
2007-07-30,1.0,1.0511588807216392,1.0315569187500904,1.0294172418063354
2007-07-31,1.0,1.0393191192363347,1.0262911068933782,1.0243468334007886
2007-08-01,1.0,1.0443830000091583,1.0281537288009992,1.0268775539456645
2007-08-02,1.0,1.0527278740575159,1.0333836063719641,1.0330229499007904
2007-08-03,1.0,1.025624889983818,1.0200888096199938,1.0158740349400701
2007-08-06,1.0,1.042813852737217,1.0287172931248478,1.0233242239133022
2007-08-07,1.0,1.0539403514683607,1.0352528977883084,1.028803027755074
2007-08-08,1.0,1.0686327021621158,1.0410437306992941,1.0419709534019017
2007-08-09,1.0,1.0369652059083425,1.0248774301334005,1.0235158824454955
2007-08-10,1.0,1.032115373232996,1.0214027505690497,1.0176923160546558
2007-08-13,1.0,1.035824385735452,1.0242526247686627,1.0181821778306952
2007-08-14,1.0,1.0199906760925814,1.01635385415727,1.007623483235578
2007-08-15,1.0,1.0059397769789684,1.0086922432346048,0.9951683590963822
2007-08-16,1.0,1.013499808003243,1.0148030418877192,0.9965437673096822
2007-08-17,1.0,1.032115373232996,1.026280245633377,1.0086889409175877
2007-08-20,1.0,1.0316162355443443,1.026872487695319,1.0123055548613855
2007-08-21,1.0,1.0336845974729691,1.0298847658645984,1.0145786628295732
2007-08-22,1.0,1.0459518394089706,1.0358870347242681,1.0266383895695403
2007-08-23,1.0,1.0450246824933969,1.0354853756784843,1.0247469047539466
2007-08-24,1.0,1.057934453561991,1.0433092500458299,1.0365756766466399
2007-08-27,1.0,1.0480921664476788,1.0386373426646747,1.0313650428489802
2007-08-28,1.0,1.0250543259613085,1.0270765973829137,1.0136273474517157
2007-08-29,1.0,1.0451679200012736,1.037603807080895,1.0322700897277728
2007-08-30,1.0,1.042385987446359,1.038029654730871,1.032109818051451
2007-08-31,1.0,1.0526565246916901,1.0442646393340362,1.0426721987838956
2007-09-04,1.0,1.0632837317981179,1.049812261689991,1.053361969708519
2007-09-05,1.0,1.0540828192959155,1.0469721622031305,1.0466500078972107
2007-09-06,1.0,1.056507928053669,1.0475220123105289,1.0500882494719774
2007-09-07,1.0,1.0418154234238497,1.043271278300254,1.0428907688785753
2007-09-10,1.0,1.0398181029889217,1.0430053446379457,1.0418520345022095
2007-09-11,1.0,1.0519434928416258,1.049420412671559,1.0538160185949097
2007-09-12,1.0,1.0546531524143286,1.0500038741114837,1.0536886367597875
2007-09-13,1.0,1.0620712543872732,1.051955406062417,1.0562642407294756
2007-09-14,1.0,1.0619995201812866,1.0524627077061155,1.057397621569209
2007-09-17,1.0,1.0562944187324173,1.0493202262005719,1.0551454939604639
2007-09-18,1.0,1.0873909661235202,1.067407024339237,1.0782737229304185
2007-09-19,1.0,1.0938093303265504,1.0696671399027475,1.083261810546205
2007-09-20,1.0,1.0861066005706244,1.0603061835404057,1.0782389166356146
2007-09-21,1.0,1.0890382359481183,1.0641691390486456,1.0838391842687407
2007-09-24,1.0,1.08703098663704,1.0635537999525515,1.087112110649672
2007-09-25,1.0,1.0848815773705354,1.0623429430444293,1.0834332548776764
2007-09-26,1.0,1.0906147721511483,1.0658639170136317,1.0888468300226979
2007-09-27,1.0,1.0970643084072091,1.0710229415244472,1.0996070545730203
2007-09-28,1.0,1.0934093274633394,1.0690351033843457,1.097043570505266
2007-10-01,1.0,1.1057355269119866,1.0767776799411741,1.1100044089781647
2007-10-02,1.0,1.1042299552346215,1.0768247117402496,1.1091120112771828
2007-10-03,1.0,1.102008657826066,1.075216445590889,1.1024420735952465
2007-10-04,1.0,1.1037286624410692,1.0769938004528572,1.1092991903684444
2007-10-05,1.0,1.1168427066670543,1.080873477634929,1.1215067406248016
2007-10-08,1.0,1.110894925012739,1.0789787166070621,1.1130606109859809
2007-10-09,1.0,1.1213568817540878,1.0837319228910973,1.120866391864985
2007-10-10,1.0,1.1194942553754652,1.083068082021662,1.1219118133971988
2007-10-11,1.0,1.1141190389124958,1.0800000506786993,1.119407741915106
2007-10-12,1.0,1.1202824849929642,1.0821333750525968,1.1248693222526103
2007-10-15,1.0,1.110823036870688,1.077067805182656,1.1202381327110953
2007-10-16,1.0,1.102008657826066,1.0731318201408735,1.1128056797665007
2007-10-17,1.0,1.1053764710418927,1.0777259442222684,1.1189898278570878
2007-10-18,1.0,1.101363742684476,1.0770232397760267,1.1249581269471238
2007-10-19,1.0,1.0725556088259847,1.06380474386612,1.105006587847733
2007-10-22,1.0,1.0787901733681822,1.06671296268827,1.1107612172925223
2007-10-23,1.0,1.087532972142882,1.0717994216379396,1.12065546690146
2007-10-24,1.0,1.0855260307039323,1.072788059705516,1.11825573664721
2007-10-25,1.0,1.0881061530784855,1.0739658011199615,1.1218092686975596
2007-10-26,1.0,1.100861757178634,1.080459324431623,1.1374002561690912
2007-10-29,1.0,1.104516738122504,1.082968137120791,1.1427373765549138
2007-10-30,1.0,1.0968491057892498,1.0789160985163133,1.1361456909962884
2007-10-31,1.0,1.1082431454002317,1.0827482984508392,1.15016926345678
2007-11-01,1.0,1.0823017628681113,1.0710765136865346,1.1283972419040882
2007-11-02,1.0,1.0835196280412083,1.0729607965963852,1.1354740679150277
2007-11-05,1.0,1.0752791226444793,1.0675599662704938,1.123949627314497
2007-11-06,1.0,1.0897545774235666,1.0754293677717661,1.1407953900741463
2007-11-07,1.0,1.0599431652656808,1.059349140079329,1.1233662128859763
